Model,W,Accuracy,Precision,Recall,F1
KAN,300,98.96 +/- 0.12,98.96 +/- 0.12,98.96 +/- 0.12,98.96 +/- 0.12
MLP,300,97.87 +/- 0.23,97.88 +/- 0.23,97.87 +/- 0.23,97.87 +/- 0.23
KAN,400,99.54 +/- 0.05,99.54 +/- 0.05,99.54 +/- 0.05,99.54 +/- 0.05
MLP,400,98.49 +/- 0.22,98.50 +/- 0.22,98.49 +/- 0.22,98.49 +/- 0.22
KAN,500,99.48 +/- 0.37,99.48 +/- 0.37,99.48 +/- 0.37,99.48 +/- 0.37
MLP,500,98.29 +/- 0.51,98.29 +/- 0.51,98.29 +/- 0.51,98.29 +/- 0.51
KAN,600,99.49 +/- 0.38,99.50 +/- 0.38,99.49 +/- 0.38,99.49 +/- 0.38
MLP,600,98.01 +/- 0.92,98.03 +/- 0.92,98.01 +/- 0.92,98.01 +/- 0.92
KAN,700,99.65 +/- 0.29,99.65 +/- 0.29,99.65 +/- 0.29,99.65 +/- 0.29
MLP,700,97.57 +/- 0.81,97.60 +/- 0.80,97.57 +/- 0.81,97.57 +/- 0.81
KAN,800,99.84 +/- 0.08,99.84 +/- 0.08,99.84 +/- 0.08,99.84 +/- 0.08
MLP,800,98.69 +/- 0.16,98.70 +/- 0.16,98.69 +/- 0.16,98.69 +/- 0.16
