Feature,Index,Importance
S1_std,2,0.28778383
S1_rms,1,0.2875196
S4_mean,33,0.2463399
S1_p2p,6,0.24204677
S1_var,3,0.2217115
S2_shape,19,0.16526173
S4_rms,34,0.16074954
S1_shape,8,0.15863897
S2_skew,15,0.15408224
S2_rms,12,0.15160279
S4_std,35,0.14877504
S2_std,13,0.14876042
S2_p2p,17,0.14856784
S4_p2p,39,0.14338452
S1_mean,0,0.13580595
S3_shape,30,0.1257361
S2_var,14,0.12347238
S2_kurt,16,0.12341476
S3_skew,26,0.11955518
S4_skew,37,0.11291342
S3_mean,22,0.10438328
S4_margin,42,0.10126564
S4_shape,41,0.099543355
S4_impulse,43,0.098242514
S1_skew,4,0.09559419
S4_crest,40,0.09483071
S4_var,36,0.08950526
S3_crest,29,0.087107085
S2_crest,18,0.086372
S4_kurt,38,0.0853597
S3_kurt,27,0.08219176
S3_std,24,0.07379799
S3_p2p,28,0.072804086
S3_rms,23,0.071911655
S2_margin,20,0.06974862
S2_mean,11,0.06845237
S3_margin,31,0.06374081
S1_margin,9,0.062384382
S1_kurt,5,0.06228067
S2_impulse,21,0.05964726
S3_impulse,32,0.05206686
S3_var,25,0.05059992
S1_impulse,10,0.048992835
S1_crest,7,0.03596537
