seed,A,B,C,D,E,M,F,n_edges
42,0.9769900990099011,0.9403465346534654,0.9827656765676568,0.9485874587458746,0.9813729372937294,0.9786138613861386,0.9810561056105611,827
0,0.9755544554455446,0.8553531353135314,0.9759405940594059,0.904496699669967,0.9786237623762377,0.980069306930693,0.9868745874587459,862
1,0.9722772277227724,0.914029702970297,0.979,0.9418349834983499,0.9792937293729373,0.9904224422442244,0.9868910891089109,870
2,0.9591815181518152,0.9814191419141914,0.9832541254125413,0.9907557755775577,0.9806996699669966,0.9964422442244224,0.9902343234323433,853
3,0.9446897689768976,0.8893102310231024,0.9525775577557756,0.9216732673267326,0.9532376237623761,0.9923069306930692,0.9731815181518153,838
4,0.9425808580858086,0.7898217821782179,0.9478877887788779,0.8466320132013202,0.9486996699669966,0.9840561056105611,0.9667920792079208,836
5,0.9845346534653465,0.9702574257425742,0.9890330033003301,0.9890726072607261,0.9887128712871287,0.9945676567656766,0.9907458745874587,854
6,0.981009900990099,0.890887788778878,0.985059405940594,0.9442211221122112,0.9853531353135314,0.9871188118811882,0.9875874587458746,827
7,0.9552145214521451,0.911016501650165,0.963980198019802,0.957973597359736,0.9624356435643564,0.9994686468646865,0.992960396039604,844
8,0.9494851485148516,0.8836930693069308,0.956009900990099,0.9580990099009901,0.9576732673267326,0.9875709570957096,0.9677953795379539,837
