seed,IsolationForest,OC-SVM,LOF,PatchCore,Autoencoder,VAE,DeepSVDD,TeacherStudent,SSL-DAE,SR,SHAP-Weighted,LIME-Weighted,elapsed_s,A,B,C,D,E,M,F
42,0.869891089108911,0.9824686468646865,0.9927656765676567,0.9754488448844885,0.8497755775577558,0.838996699669967,0.9107755775577558,0.8752838283828382,0.9519438943894389,0.9751155115511551,0.9621287128712871,0.9832739273927393,276.6813633441925,0.9769900990099012,0.9403465346534654,0.9827656765676568,0.9485874587458746,0.9813729372937294,0.9786138613861386,0.9810561056105612
0,0.8647293729372937,0.9881155115511551,0.9954257425742574,0.9635676567656766,0.8757491749174917,0.8515907590759078,0.8211254125412542,0.9717920792079209,0.9507854785478548,0.9725643564356434,0.9467161716171617,0.9824059405940594,282.3636131286621,0.9755544554455446,0.8553531353135314,0.975940594059406,0.904496699669967,0.9786237623762376,0.980069306930693,0.986874587458746
1,0.8358877887788778,0.9887887788778877,0.9948481848184818,0.9813597359735975,0.8703135313531353,0.8397623762376237,0.8902904290429042,0.9215610561056106,0.9398349834983498,0.9861056105610562,0.9438514851485148,0.9846765676567657,322.3939485549927,0.9722772277227724,0.914029702970297,0.979,0.94183498349835,0.9792937293729372,0.9904224422442244,0.9868910891089108
2,0.8882277227722772,0.9878679867986798,0.9948514851485148,0.9619405940594059,0.925920792079208,0.8687392739273927,0.7106006600660066,0.8615148514851486,0.9372871287128715,0.9862739273927392,0.9762244224422443,0.9933300330033004,260.1165370941162,0.9591815181518152,0.9814191419141914,0.9832541254125412,0.9907557755775576,0.9806996699669966,0.9964422442244224,0.9902343234323432
3,0.7901122112211221,0.9843267326732672,0.995950495049505,0.9755148514851485,0.8977623762376238,0.8456600660066007,0.9945280528052806,0.8965478547854785,0.9442673267326733,0.9782640264026403,0.9439042904290429,0.9730000000000001,271.633056640625,0.9446897689768976,0.8893102310231024,0.9525775577557756,0.9216732673267326,0.953237623762376,0.9923069306930692,0.9731815181518152
4,0.8813531353135313,0.9856831683168317,0.9911551155115511,0.9730924092409241,0.8940924092409241,0.8422409240924092,0.9823729372937294,0.945950495049505,0.938828382838284,0.9657755775577558,0.9457557755775579,0.9777293729372937,278.6477084159851,0.9425808580858086,0.7898217821782179,0.947887788778878,0.8466320132013202,0.9486996699669966,0.9840561056105612,0.9667920792079208
5,0.8877953795379537,0.9858316831683169,0.9924884488448845,0.9777689768976898,0.8905478547854786,0.8570429042904291,0.9314323432343234,0.9090594059405941,0.9438415841584158,0.9825577557755776,0.9657788778877887,0.9873465346534653,249.9544599056244,0.9845346534653464,0.9702574257425742,0.98903300330033,0.989072607260726,0.9887128712871288,0.9945676567656766,0.9907458745874588
6,0.9047161716171618,0.979102310231023,0.9895181518151815,0.9703630363036303,0.8887095709570958,0.8363102310231024,0.9745346534653465,0.976059405940594,0.9303564356435643,0.9815577557755775,0.9644719471947194,0.9799438943894389,252.24299883842468,0.981009900990099,0.890887788778878,0.985059405940594,0.9442211221122112,0.9853531353135314,0.9871188118811882,0.9875874587458746
7,0.832927392739274,0.9917821782178218,0.9977227722772277,0.9812079207920792,0.8811980198019802,0.8531683168316831,0.9936402640264027,0.8803663366336633,0.9556336633663367,0.9823333333333333,0.9517326732673267,0.9909372937293729,218.76010632514954,0.9552145214521452,0.911016501650165,0.963980198019802,0.957973597359736,0.9624356435643564,0.9994686468646864,0.992960396039604
8,0.8714983498349835,0.9815841584158416,0.9927062706270626,0.9646204620462047,0.9068151815181518,0.8536930693069307,0.8602871287128713,0.9243201320132013,0.9372607260726072,0.9666666666666668,0.9348085808580857,0.9687755775577557,236.1471824645996,0.9494851485148516,0.8836930693069308,0.956009900990099,0.95809900990099,0.9576732673267326,0.9875709570957096,0.967795379537954
