method,mean,std,min,max,n_seeds
IsolationForest,0.8627138613861385,0.033997172901227814,0.7901122112211221,0.9047161716171618,10
OC-SVM,0.9855551155115512,0.003795804507385808,0.979102310231023,0.9917821782178218,10
LOF,0.9937432343234324,0.002452748399404721,0.9895181518151815,0.9977227722772277,10
PatchCore,0.9724884488448844,0.007134899324349723,0.9619405940594059,0.9813597359735975,10
Autoencoder,0.8880884488448844,0.02082093787156708,0.8497755775577558,0.925920792079208,10
VAE,0.8487204620462047,0.010016252572737298,0.8363102310231024,0.8687392739273927,10
DeepSVDD,0.9069587458745876,0.0909391307043585,0.7106006600660066,0.9945280528052806,10
TeacherStudent,0.9162455445544555,0.039495740027006995,0.8615148514851486,0.976059405940594,10
SSL-DAE,0.9430039603960395,0.00785554439453124,0.9303564356435643,0.9556336633663367,10
SHAP-Weighted,0.9535372937293729,0.01293424410072521,0.9348085808580857,0.9762244224422443,10
LIME-Weighted,0.9821419141914192,0.007629851981926454,0.9687755775577557,0.9933300330033004,10
A,0.9641518151815183,0.015720781838855707,0.9425808580858086,0.9845346534653464,10
B,0.9026135313531354,0.05581588539786336,0.7898217821782179,0.9814191419141914,10
C,0.9715508250825081,0.01507156114835385,0.947887788778878,0.98903300330033,10
D,0.9403346534653465,0.04221984509360246,0.8466320132013202,0.9907557755775576,10
E,0.9716102310231023,0.014561670931615082,0.9486996699669966,0.9887128712871288,10
M,0.989063696369637,0.006884355908747864,0.9786138613861386,0.9994686468646864,10
F,0.9824118811881188,0.009737333263253272,0.9667920792079208,0.992960396039604,10
SR,0.9777214521452144,0.007464051645069934,0.9657755775577558,0.9862739273927392,10
