feature,shap_importance
S1_std,0.0052714655859768455
S1_rms,0.005240399935214608
S4_mean,0.003342298572361096
S1_p2p,0.00243319638560346
S4_shape,0.001441291786202202
S4_kurt,0.0011075208488690392
S4_margin,0.000718868340400136
S4_impulse,0.0007152398168054406
S1_shape,0.0006579169397869614
S3_skew,0.0006479912644154628
S1_var,0.0006459285833355596
S2_p2p,0.0005994993972447712
S2_rms,0.0005875402243285996
S2_std,0.0005865530213423269
S4_crest,0.0005294944740174853
S4_skew,0.0004565155210926444
S1_crest,0.0002800016607126486
S1_margin,0.0002575433946747321
S1_skew,0.00016200667199590453
S1_impulse,0.00016016358740014044
S2_margin,0.00013971310826395043
S3_std,0.00012849371636784864
S2_var,0.00012793795230856017
S2_mean,8.80981190179831e-05
S3_shape,7.442130543241342e-05
S2_impulse,6.91423448100527e-05
S3_mean,4.733496841809689e-05
S2_crest,4.7322114358132764e-05
S1_kurt,4.340067045319088e-05
S3_crest,4.0309982465940786e-05
S3_impulse,3.9646330012935415e-05
S2_kurt,3.929511080940838e-05
S2_skew,2.6403414971562234e-05
S4_var,2.14013221991181e-05
S2_shape,2.0651189041290186e-05
S3_p2p,1.7526153081785097e-05
S3_kurt,1.588883890226627e-05
S3_rms,1.5154518254014149e-05
S3_margin,1.3293474520619519e-05
S3_var,1.1059473173844411e-05
S4_std,0.0
S4_p2p,0.0
S4_rms,0.0
S1_mean,0.0
