W,Model,AUC,F1,Precision,Recall,Threshold
300,IsolationForest,0.8197775939711424,0.9068848758465012,0.8593582887700535,0.9599761051373956,-0.0740194943001624
300,OC-SVM,0.9137711230349774,0.9262792714657416,0.8974789915966387,0.956989247311828,-2.2267850425423954
300,LOF,0.957724473853506,0.9503214494447692,0.9302059496567504,0.971326164874552,-0.3857059967576979
400,IsolationForest,0.8779349792431324,0.92638731596829,0.8802008608321378,0.9776892430278884,-0.062933678607002
400,OC-SVM,0.9333500643096904,0.9382716049382716,0.9094988780852656,0.9689243027888448,-1.4367030703705566
400,LOF,0.9587204985830956,0.9468675654242664,0.9423835832675612,0.951394422310757,-0.358147373966231
500,IsolationForest,0.8901112249185839,0.9274116523400192,0.8891941391941391,0.969061876247505,-0.0407322513526993
500,OC-SVM,0.9493447315894528,0.948604992657856,0.930835734870317,0.9670658682634732,-0.723122023821337
500,LOF,0.9605952568547116,0.9574572127139364,0.9386385426653884,0.9770459081836328,-0.3678450765860971
600,IsolationForest,0.935698677617451,0.9482257126236184,0.9229898074745186,0.9748803827751196,-0.0342702947651265
600,OC-SVM,0.9754078288060882,0.9673202614379084,0.961038961038961,0.9736842105263158,-0.4188240236996483
600,LOF,0.9764815582262744,0.9672131147540984,0.9472477064220184,0.9880382775119616,-0.3486604802561915
700,IsolationForest,0.9632430553767732,0.9693251533742332,0.9467376830892144,0.9930167597765364,-0.0201858295941924
700,OC-SVM,0.9868702211466672,0.9821182943603852,0.967479674796748,0.9972067039106144,-0.1949119357979012
700,LOF,0.9862652215328374,0.9783065080475856,0.9803646563814866,0.9762569832402236,-0.2823886083354687
800,IsolationForest,0.9659531604129942,0.9609375,0.9418070444104136,0.9808612440191388,-0.0146045524769508
800,OC-SVM,0.9902459498027364,0.9814665592264304,0.99185667752443,0.971291866028708,0.4741988821025367
800,LOF,0.9911105514983632,0.9912490055688148,0.9888888888888888,0.9936204146730464,-0.2236239560109688
900,IsolationForest,0.9826522048590824,0.9814651368049426,0.9652777777777778,0.9982046678635548,-0.0003138840010776
900,OC-SVM,0.9996388089192952,0.9946428571428572,0.9893428063943162,1.0,0.4458061696653757
900,LOF,0.9981090584598388,0.9883824843610366,0.9839857651245552,0.992818671454219,-0.1994949127133579
1000,IsolationForest,0.9872631578947368,0.9829488465396188,0.9859154929577464,0.98,0.0245201572590037
1000,OC-SVM,0.9993552631578948,0.9889224572004028,0.995943204868154,0.982,0.6793116510622297
1000,LOF,0.9995131578947368,0.9910802775024776,0.9823182711198428,1.0,-0.2009158815329387
300,PatchCore,0.8339684088236611,0.8703345313795964,0.8100874935666496,0.94026284348865,1.8745132171356576
300,Autoencoder,0.9370144146819084,0.938560561732007,0.9197247706422018,0.9581839904420548,0.0385605357587337
400,PatchCore,0.920061486338112,0.9146245059288538,0.9074509803921568,0.9219123505976096,2.269734767777055
400,Autoencoder,0.95281864667315,0.9425742574257424,0.937007874015748,0.9482071713147412,0.1075029373168945
500,PatchCore,0.9058002416220192,0.9083782459578638,0.8922040423484119,0.9251497005988024,2.311143488257529
500,Autoencoder,0.956895419686942,0.9451518119490696,0.9278846153846154,0.9630738522954092,0.0931316316127777
600,PatchCore,0.8645358474927477,0.8784313725490196,0.8261327713382508,0.937799043062201,2.166322799783614
600,Autoencoder,0.9380062540029386,0.9457725947521866,0.9226393629124005,0.9700956937799045,0.1646811217069625
700,PatchCore,0.9409739206549442,0.9307207837648706,0.9326788218793828,0.9287709497206704,2.6119388255513263
700,Autoencoder,0.9842249568776872,0.974465148378192,0.9631650750341064,0.9860335195530726,0.1466735750436782
800,PatchCore,0.9753294720053725,0.9596122778675282,0.972176759410802,0.9473684210526316,2.7500855164007154
800,Autoencoder,0.985024762864098,0.967391304347826,0.9425113464447806,0.9936204146730464,0.1882649809122085
900,PatchCore,0.9876876334547926,0.9678571428571427,0.9626998223801064,0.9730700179533214,2.7489275879464694
900,Autoencoder,0.9987783242858508,0.9883824843610366,0.9839857651245552,0.992818671454219,0.2086556255817413
1000,PatchCore,0.9841315789473684,0.9640718562874252,0.9621513944223108,0.966,2.7518999076086668
1000,Autoencoder,0.9551052631578948,0.957801766437684,0.9402697495183044,0.976,0.3269400596618652
300,VAE,0.8358288618834524,0.9054945054945056,0.8382502543234995,0.984468339307049,0.2805639207363128
300,DeepSVDD,0.8694584066792505,0.8804576934658236,0.8876745598057073,0.8733572281959379,6.476519774878398e-05
300,TeacherStudent,0.8632325460282451,0.9015109121432568,0.8478947368421053,0.9623655913978496,0.0012396742822602
300,SSL_DAE,0.967955198310864,0.9592494869539724,0.9418537708693148,0.977299880525687,0.0975697040557861
400,VAE,0.8529284437054931,0.904577191621412,0.8813303099017384,0.9290836653386454,0.4173867702484131
400,DeepSVDD,0.8542669218140561,0.8866290018832391,0.8407142857142857,0.9378486055776892,4.550732046482153e-05
400,TeacherStudent,0.9372023716158986,0.9435294117647058,0.9289575289575288,0.9585657370517928,0.0032995683141052
400,SSL_DAE,0.9800964122512574,0.9664429530201344,0.9577464788732394,0.9752988047808764,0.1142532899975776
500,VAE,0.8791561613614877,0.922211808809747,0.8692579505300353,0.9820359281437124,0.3790389001369476
500,DeepSVDD,0.922749894946948,0.9086584205518554,0.8681818181818182,0.9530938123752496,8.984864689409733e-05
500,TeacherStudent,0.9443612774451096,0.9453125,0.9254302103250478,0.9660678642714572,0.0033627413213253
500,SSL_DAE,0.9523124803025528,0.9612027158098934,0.9349056603773584,0.9890219560878244,0.1281246095895767
600,VAE,0.922931658064273,0.9369475545079552,0.9233449477351916,0.9509569377990432,0.5931611657142639
600,DeepSVDD,0.7967354858154693,0.8681204569055037,0.7669724770642202,1.0,1.2460964171623345e-07
600,TeacherStudent,0.9832206231398108,0.9701579871269748,0.949599083619702,0.9916267942583732,0.0049008051864802
600,SSL_DAE,0.9699873789699732,0.9699823425544438,0.954808806488992,0.985645933014354,0.1619770526885986
700,VAE,0.9416239734315064,0.9502018842530284,0.9168831168831169,0.9860335195530726,0.5788980722427368
700,DeepSVDD,0.8888087943773653,0.8970792767732962,0.8933518005540166,0.9008379888268156,0.0002004614216275
700,TeacherStudent,0.9668666168936488,0.953020134228188,0.917312661498708,0.9916201117318436,0.0050343167968094
700,SSL_DAE,0.9873979867672424,0.9867595818815332,0.9847009735744088,0.988826815642458,0.2234814763069152
800,VAE,0.9610173759758248,0.96024941543258,0.9390243902439024,0.9824561403508772,0.6451769471168518
800,DeepSVDD,0.813758079409049,0.868421052631579,0.7674418604651163,1.0,2.034456201727153e-06
800,TeacherStudent,0.9934357424662134,0.9842767295597484,0.9705426356589149,0.9984051036682616,0.0088263321667909
800,SSL_DAE,0.9880970368504994,0.9764890282131662,0.9599383667180276,0.9936204146730464,0.2243976891040802
900,VAE,0.9840332295794249,0.9778565101860052,0.965034965034965,0.9910233393177738,1.163739800453186
900,DeepSVDD,0.8675915991203935,0.8682774746687452,0.7672176308539945,1.0,8.432451068074442e-06
900,TeacherStudent,0.995123920410483,0.984070796460177,0.9703315881326352,0.9982046678635548,0.0101121710613369
900,SSL_DAE,0.9972485738263944,0.9893048128342246,0.9823008849557522,0.9964093357271095,0.2538014948368072
1000,VAE,0.991907894736842,0.984251968503937,0.9689922480620154,1.0,1.0719691514968872
1000,DeepSVDD,0.9965263157894736,0.9870646766169154,0.9821782178217822,0.992,0.001466485322453
1000,TeacherStudent,0.9841710526315788,0.9717073170731708,0.9485714285714286,0.996,0.0082693519070744
1000,SSL_DAE,0.9907236842105264,0.9851924975320828,0.97270955165692,0.998,0.4588553607463836
